"kind","geom","name","cx_pt","cy_pt","w_pt","h_pt","rot","text"
"sp","rect","직사각형 6","217.15","229.29","373.6","141.37","0",""
"pic","","내용 개체 틀 4","217.6","84.04","373.6","134.8","0",""
"sp","rect","TextBox 13","380.04","286.93","10.73","12.12","0","X-"
"sp","rect","TextBox 16","47.04","286.93","13.88","12.12","0","X+"
"cxnSp","straightConnector1","직선 화살표 연결선 17","214.33","286.93","320.69","0","0",""
"cxnSp","straightConnector1","직선 화살표 연결선 18","394.75","232.95","0","81.16","0",""
"sp","rect","TextBox 19","394.75","186.31","13.51","12.12","0","Y+"
"sp","rect","TextBox 20","394.75","279.59","10.35","12.12","0","Y-"
"sp","rect","직사각형 100","212.94","227.2","79.59","435.86","270",""
"sp","roundRect","사각형: 둥근 모서리 110","372.29","227.2","20.82","91.84","0",""
"sp","rect","TextBox 111","372.74","188.54","12.75","14.54","0","GR1 (HP)"
"sp","roundRect","사각형: 둥근 모서리 109","375.1","226.24","5.85","9.29","90",""
"sp","roundRect","사각형: 둥근 모서리 106","53.59","227.2","20.82","91.84","0",""
"sp","rect","TextBox 107","54.03","188.54","12.75","14.54","0","GR2 (OP)"
"sp","roundRect","사각형: 둥근 모서리 105","56.39","228.16","5.85","9.29","90",""
"pic","rect","그림 124","90.98","373.63","119.65","107.75","0",""
"sp","rect","TextBox 38","77.17","171.6","74.34","10.91","0","입고 1 : Stack 422"
"sp","rect","TextBox 41","79.1","313.15","98.96","10.91","0","Palletizing Pattern size"
"sp","rect","TextBox 42","128.37","422.46","42.16","7.27","0","1600Wx1600D"
"sp","rect","직사각형 43","246.84","253.5","14.96","34.22","90",""
"sp","rect","직사각형 44","246.76","272.95","14.96","34.22","90",""
"sp","rect","직사각형 45","236.7","263.22","34.4","13.94","90",""
"sp","rect","직사각형 51","151.84","253.5","14.96","34.22","90",""
"sp","rect","직사각형 52","151.76","272.95","14.96","34.22","90",""
"sp","rect","직사각형 53","141.7","263.22","34.4","13.94","90",""
"sp","flowChartSummingJunction","순서도: 가산 접합 3","160.98","252.62","7.65","7.65","0",""
"sp","flowChartSummingJunction","순서도: 가산 접합 57","256.98","252.62","7.65","7.65","0",""
"sp","rect","TextBox 58","113.29","9.25","164.97","10.91","0","입고  1 Zone Gantry Robot Cell Layout"
"graphicFrame","","표 522","585.5","44.16","150.22","28.8","0","구분 순서 입고 (HP) 1    2(p3)"
"sp","rect","TextBox 523","493.68","9.23","123.19","10.91","0","Palletizing Pattern (HP  입고 )"
"sp","rect","직사각형 524","552.79","274.27","242.64","516.98","0",""
"sp","roundRect","사각형: 둥근 모서리 516","471.04","54.46","70.87","70.87","270",""
"sp","ellipse","타원 519","485.52","69.2","37.82","37.82","0","C#1"
"sp","ellipse","타원 597","456.56","39.72","37.82","37.82","0","C#2 3↘️"
"sp","rect","TextBox 598","584.57","22.82","147.33","8.48","0","Pattern 2 (814 ~ 937)"
"graphicFrame","","표 600","585.5","118.93","150.22","28.8","0","구분 순서 입고 (HP) 1    2(p3)   3 (p1)"
"sp","rect","TextBox 604","584.57","97.59","147.33","8.48","0","Pattern 3 (756 ~ 813)"
"graphicFrame","","표 606","585.5","193.21","150.22","28.8","0","구분 순서 입고 (HP) 1    2(p5)   3 (p2)  4  (p3)"
"sp","rect","TextBox 610","584.57","171.87","147.33","8.48","0","Pattern 4 (663 ~ 755)"
"graphicFrame","","표 612","585.5","270.08","150.22","36","0","구분 순서 입고 ( HP) 1    2    3(p2)    4(p1)    5(p3)"
"sp","rect","TextBox 616","584.57","245.14","147.33","8.48","0","Pattern 5 (601 ~ 622)"
"graphicFrame","","표 618","585.5","343.85","150.22","36","0","구분 순서 입고 ( HP) 1    2(p1)    3(p3)    4(p2)    5(p1)    6(p3)"
"sp","rect","TextBox 622","584.57","318.91","147.33","8.48","0","Pattern 6 (546 ~ 600)"
"sp","roundRect","사각형: 둥근 모서리 623","471.04","422.97","70.87","70.87","0",""
"graphicFrame","","표 624","585.5","417.12","150.22","36","0","구분 순서 입고 ( HP) 1   2   3(p2)   4 (p1)   5 (p3)   6 (p2)   7 (p1)  8  (p3)"
"sp","rect","TextBox 628","584.57","392.18","147.33","8.48","0","Pattern 8 (521 ~ 545)"
"sp","roundRect","사각형: 둥근 모서리 629","471.04","496.67","70.87","70.87","0",""
"graphicFrame","","표 630","585.5","493.99","150.22","43.2","0","구분 순서 입고 ( HP) 1   2(p5) 3(p5)  4(p2)  5(p3)  6(p3)  7(p2)  8(p3)  9(p3)"
"sp","rect","TextBox 634","584.57","465.45","147.33","8.48","0","Pattern 9 (~520)"
