"kind","geom","name","cx_pt","cy_pt","w_pt","h_pt","rot","text"
"sp","rect","직사각형 6","237.72","148.68","373.6","141.37","0",""
"sp","rect","TextBox 13","378.85","68.17","13.88","12.12","0","X+"
"sp","rect","TextBox 16","45.85","68.17","10.73","12.12","0","X-"
"cxnSp","straightConnector1","직선 화살표 연결선 17","211.57","68.17","320.69","0","0",""
"cxnSp","straightConnector1","직선 화살표 연결선 18","41.03","144.72","0","81.16","0",""
"sp","rect","TextBox 19","41.03","98.08","10.35","12.12","0","Y-"
"sp","rect","TextBox 20","41.03","191.36","13.51","12.12","0","Y+"
"sp","rect","직사각형 100","233.51","146.59","79.59","435.86","270",""
"sp","roundRect","사각형: 둥근 모서리 110","392.87","146.59","20.82","91.84","0",""
"sp","rect","TextBox 111","393.31","107.94","13","14.54","0","GR2 (OP)"
"sp","roundRect","사각형: 둥근 모서리 109","395.67","145.63","5.85","9.29","90",""
"sp","roundRect","사각형: 둥근 모서리 106","74.16","146.59","20.82","91.84","0",""
"sp","rect","TextBox 107","74.6","107.94","12.75","14.54","0","GR1 (HP)"
"sp","roundRect","사각형: 둥근 모서리 105","76.96","147.55","5.85","9.29","90",""
"pic","rect","그림 124","507.86","128.1","119.65","107.75","0",""
"sp","rect","TextBox 38","91.23","50.13","74.34","10.91","0","입고 1 : Stack 422"
"sp","rect","TextBox 41","495.98","67.62","98.96","10.91","0","Palletizing Pattern size"
"sp","rect","TextBox 42","545.25","176.93","42.16","7.27","0","1600Wx1600D"
"sp","rect","직사각형 43","266.95","85.42","14.96","34.22","90",""
"sp","rect","직사각형 44","266.87","104.87","14.96","34.22","90",""
"sp","rect","직사각형 45","256.81","95.14","34.4","13.94","90",""
"sp","rect","직사각형 51","171.95","85.42","14.96","34.22","90",""
"sp","rect","직사각형 52","171.87","104.87","14.96","34.22","90",""
"sp","rect","직사각형 53","161.81","95.14","34.4","13.94","90",""
"sp","flowChartSummingJunction","순서도: 가산 접합 3","181.09","84.54","7.65","7.65","0",""
"sp","flowChartSummingJunction","순서도: 가산 접합 57","277.09","84.54","7.65","7.65","0",""
"sp","rect","TextBox 58","113.29","9.25","164.97","10.91","0","입고  1 Zone Gantry Robot Cell Layout"
"sp","rect","TextBox 523","136.2","308.18","123.19","10.91","0","Palletizing Pattern (HP  입고 )"
"graphicFrame","","표 606","148.65","330.1","150.22","28.8","0","구분 순서 입고 (HP) 1    2(p5)   3 (p2)  4  (p3)"
"sp","roundRect","사각형: 둥근 모서리 605","177.79","153.7","70.87","70.87","270",""
"sp","ellipse","타원 664","160.47","171.35","34.64","34.64","0","C#2 5↑"
"sp","ellipse","타원 665","160.47","136.22","34.64","34.64","0","C#1"
"sp","ellipse","타원 666","195.82","171.35","34.64","34.64","0","C#4 3↖️"
"sp","ellipse","타원 667","195.82","136.22","34.64","34.64","0","C#3 ←️2"
"graphicFrame","","표 129","169.25","266.96","57.09","51.44","0","6↘️ 4↓️ ↙️1 7→ ←️2 8↗️ 5↑ 3↖️"
"graphicFrame","","표 187","340.16","330.1","150.22","28.8","0","구분 순서 입고 (OP) 3   4 (p5)   1 (p7)   2 (p8)"
"sp","rect","TextBox 247","327.64","308.18","123.32","10.91","0","Palletizing Pattern (OP  입고 )"
"sp","rect","TextBox 12","73.72","95.1","41.55","13.33","0","zero point"
"sp","halfFrame","1/2 액자 11","63.02","94.52","4.67","4.67","0",""
"sp","roundRect","사각형: 둥근 모서리 261","276.63","154.33","70.87","70.87","270",""
"sp","ellipse","타원 262","259.32","171.98","34.64","34.64","0","C#2 8↗️"
"sp","ellipse","타원 263","259.32","136.85","34.64","34.64","0","C#1 7→"
"sp","ellipse","타원 264","294.67","171.98","34.64","34.64","0","C#4 5↑"
"sp","ellipse","타원 265","294.67","136.85","34.64","34.64","0","C#3"
"pic","rect","그림 23","674.93","281.94","185.88","439.67","0",""
"pic","rect","그림 25","822.65","182.16","252.04","122.27","90",""
